sample,fastq_1,fastq_2,strandedness
SRR20630344,/scratch/pawsey0842/data/SRR20630344.fastq.gz,,auto
SRR20630349,/scratch/pawsey0842/data/SRR20630349.fastq.gz,,auto
SRR20630355,/scratch/pawsey0842/data/SRR20630355.fastq.gz,,auto
SRR20630347,/scratch/pawsey0842/data/SRR20630347.fastq.gz,,auto
SRR20630350,/scratch/pawsey0842/data/SRR20630350.fastq.gz,,auto
SRR20630342,/scratch/pawsey0842/data/SRR20630342.fastq.gz,,auto
SRR20630353,/scratch/pawsey0842/data/SRR20630353.fastq.gz,,auto
SRR20630343,/scratch/pawsey0842/data/SRR20630343.fastq.gz,,auto
SRR20630339,/scratch/pawsey0842/data/SRR20630339.fastq.gz,,auto
SRR20630356,/scratch/pawsey0842/data/SRR20630356.fastq.gz,,auto
SRR20630354,/scratch/pawsey0842/data/SRR20630354.fastq.gz,,auto
SRR20630341,/scratch/pawsey0842/data/SRR20630341.fastq.gz,,auto
SRR20630345,/scratch/pawsey0842/data/SRR20630345.fastq.gz,,auto
SRR20630351,/scratch/pawsey0842/data/SRR20630351.fastq.gz,,auto
SRR20630340,/scratch/pawsey0842/data/SRR20630340.fastq.gz,,auto
SRR20630348,/scratch/pawsey0842/data/SRR20630348.fastq.gz,,auto
SRR20630352,/scratch/pawsey0842/data/SRR20630352.fastq.gz,,auto
SRR20630346,/scratch/pawsey0842/data/SRR20630346.fastq.gz,,auto
